BpS,ACRES,PERCENT,RUNNING_PERCENT
South-Central Interior Mesophytic Forest,153409.3515,60.63,75.73
Southern Appalachian Oak Forest,34945.65116,13.81,100
Southern and Central Appalachian Cove Forest,25574.85974,10.11,85.84
Allegheny-Cumberland Dry Oak Forest and Woodland,18200.27638,7.19,7.19
Central Interior and Appalachian Riparian Systems,16041.05352,6.34,14.72
Appalachian (Hemlock) Northern Hardwood Forest,2500.597587,0.99,8.18
Southern Appalachian Northern Hardwood Forest,833.5325405,0.33,86.19
Open Water,650.7247376,0.26,15.1
Central Interior and Appalachian Floodplain Systems,505.5014559,0.2,8.38
Central Interior and Appalachian Swamp Systems,302.9005588,0.12,14.84
Southern Appalachian Low-Elevation Pine Forest,60.26876232,0.02,85.86
