EVT,ACRES,PERCENT,RUNNING_PERCENT
Southern Appalachian Oak Forest,75221.86398,29.7290575,100
Allegheny-Cumberland Dry Oak Forest and Woodland,64525.82694,25.5017879,70.2709425
South-Central Interior Mesophytic Forest,52382.67106,20.7025904,44.7691545
Northern & Central Native Ruderal Forest,22927.92703,9.0615364,24.0665641
Recently Logged-Tree Cover,5773.347066,2.2817324,15.0050277
Southern and Central Appalachian Cove Forest,5177.776011,2.0463519,12.7232952
Developed-Roads,5046.563681,1.9944943,10.6769434
Northern & Central Ruderal Meadow,4427.641298,1.7498849,8.682449
Recently Logged-Herb and Grass Cover,3519.161962,1.3908372,6.9325641
Eastern Cool Temperate Urban Deciduous Forest,2662.278071,1.052181,5.5417269
Northeastern North American Temperate Forest Plantation,2150.549493,0.8499365,4.4895459
Southern Appalachian Low-Elevation Pine Forest,1401.749096,0.5539969,3.6396094
Recently Logged-Shrub Cover,1151.111092,0.4549402,3.0856125
Eastern Cool Temperate Pasture and Hayland,742.7958343,0.2935665,2.6306723
Developed-Low Intensity,702.5424946,0.2776577,2.3371058
Open Water,648.7231918,0.2563873,2.0594481
Eastern Cool Temperate Urban Mixed Forest,573.5540259,0.226679,1.8030608
Eastern Cool Temperate Urban Shrubland,569.1061312,0.2249212,1.5763818
Northern & Central Ruderal Shrubland,505.9462481,0.1999592,1.3514606
Eastern Cool Temperate Urban Herbaceous,499.0520275,0.1972345,1.1515014
South-Central Interior Small Stream and Riparian Forest,467.694488,0.1848414,0.9542669
Southern Appalachian Montane Pine Forest and Woodland,430.9994909,0.1703389,0.7694255
Southern Ridge and Valley / Cumberland Dry Calcareous Forest,324.2503805,0.1281497,0.5990866
Eastern Warm Temperate Developed Ruderal Deciduous Forest,258.6441645,0.1022209,0.4709369
Developed-Medium Intensity,250.8603808,0.0991446,0.368716
Quarries-Strip Mines-Gravel Pits-Well and Wind Pads,235.9599847,0.0932557,0.2695714
Central and Southern Appalachian Montane Oak Forest,156.3429502,0.0617896,0.1763157
Southern Ridge and Valley Calcareous Glade and Woodland,107.861068,0.0426287,0.1145261
Eastern Warm Temperate Developed Ruderal Mixed Forest,33.13669869,0.0130962,0.0718974
Eastern Cool Temperate Urban Evergreen Forest,30.91276017,0.0122173,0.0588012
Eastern Warm Temperate Developed Ruderal Mixed Forested Wetland,28.24403301,0.0111626,0.0465839
Recently Disturbed Other-Herb and Grass Cover,20.46024451,0.00809,0.0354213
Recently Disturbed Other-Tree Cover,20.23784909,0.008,0.0273351
Eastern Cool Temperate Row Crop,15.78997096,0.00624,0.0193367
Recently Disturbed Other-Shrub Cover,8.895758212,0.00352,0.0130962
Eastern Warm Temperate Developed Ruderal Grassland,7.561394423,0.00299,0.00958
Developed-High Intensity,6.894212484,0.00272,0.00659
Eastern Warm Temperate Developed Ruderal Evergreen Forest,4.670272827,0.00185,0.00387
South-Central Interior Small Stream and Riparian Shrubland,1.779151648,0.000703,0.00202
South-Central Interior Small Stream and Riparian Herbaceous,1.556757689,0.000615,0.00132
Eastern Warm Temperate Developed Ruderal Herbaceous Wetland,0.889575839,0.000352,0.000703
Eastern Warm Temperate Developed Ruderal Shrubland,0.667181849,0.000264,0.000352
Eastern Cool Temperate Close Grown Crop,0.22239396,0.0000879,0.0000879
